salary_id,emp_id,salary,salary_date
161,497,34848,02-04-2023
162,28,105339,13-05-2023
163,448,114913,29-01-2023
164,326,118311,22-10-2023
165,489,74648,18-03-2023
166,204,107918,24-05-2023
167,74,112025,14-09-2023
168,103,68897,08-06-2023
169,260,102249,25-08-2023
170,432,59578,21-06-2023
171,85,99824,17-02-2023
172,499,32902,12-03-2023
173,308,34159,16-08-2023
174,404,85244,06-10-2023
175,177,32617,26-06-2023
176,43,96523,03-01-2023
177,320,97946,24-01-2023
178,113,-94601,09-06-2023
179,337,102250,24-02-2023
180,300,66768,20-05-2023
181,325,54515,08-03-2023
182,198,57101,30-11-2023
183,469,109491,06-12-2023
184,100,117752,25-12-2023
185,434,79713,02-09-2023
186,399,69885,31-01-2023
187,405,35463,23-01-2023
188,273,-58338,23-07-2023
189,280,86549,10-02-2023
190,225,42874,05-10-2023
191,480,62941,06-06-2023
192,268,73571,20-07-2023
193,499,90405,16-06-2023
194,358,116762,13-12-2023
195,52,94715,15-11-2023
196,25,42317,10-06-2023
197,50,97779,28-07-2023
198,200,-38141,08-09-2023
199,32,108086,01-04-2023
200,149,33630,07-04-2023
201,198,53986,07-09-2023
202,483,90601,27-08-2023
203,397,35865,18-08-2023
204,287,49927,28-01-2023
205,255,103110,19-05-2023
206,372,119657,09-09-2023
207,230,86739,23-09-2023
208,64,104740,21-08-2023
209,396,41477,19-07-2023
210,168,71065,22-10-2023
211,191,69814,07-11-2023
212,188,62257,29-11-2023
213,213,111988,22-05-2023
214,36,101845,21-04-2023
215,216,98844,16-10-2023
216,263,77726,07-09-2023
217,69,43681,13-01-2023
218,437,74196,09-12-2023
219,65,97897,13-07-2023
220,318,114209,28-11-2023
221,446,117966,03-08-2023
222,160,-102234,15-10-2023
223,335,72282,26-06-2023
224,36,115312,27-12-2023
225,435,78583,01-06-2023
226,234,98743,24-09-2023
227,87,117619,23-08-2023
228,350,51068,02-11-2023
229,55,61398,13-10-2023
230,493,87775,26-12-2023
231,296,113752,11-05-2023
232,103,69700,13-05-2023
233,107,64757,29-07-2023
234,483,96459,03-12-2023
235,185,86659,24-10-2023
236,179,72604,26-11-2023
237,424,36763,20-10-2023
238,419,58954,25-10-2023
239,158,83074,27-10-2023
240,309,88077,07-04-2023
241,191,32376,28-09-2023
242,164,68651,22-03-2023
243,232,113981,25-01-2023
244,108,118322,03-07-2023
245,315,94280,18-12-2023
246,53,105977,15-09-2023
247,459,67473,17-07-2023
248,428,38575,01-03-2023
249,373,115257,17-07-2023
250,202,102578,05-06-2023
251,429,104474,22-07-2023
252,322,38400,12-04-2023
253,478,54377,27-05-2023
254,235,66153,23-11-2023
255,465,72603,22-06-2023
256,111,110973,22-04-2023
257,42,-87136,21-02-2023
258,39,70496,14-11-2023
259,480,44518,01-10-2023
260,462,40910,02-01-2023
261,156,113974,21-12-2023
262,207,85263,26-05-2023
263,451,91304,18-10-2023
264,94,56087,19-08-2023
265,431,108907,27-02-2023
266,270,86738,10-02-2023
267,247,102112,29-07-2023
268,279,104539,13-01-2023
269,260,30108,01-12-2023
270,498,80026,06-12-2023
271,83,82132,29-04-2023
272,420,103632,26-10-2023
273,188,37717,07-01-2023
274,240,92764,26-03-2023
275,121,95363,26-12-2023
276,115,47113,01-11-2023
277,153,107609,22-12-2023
278,331,107172,05-08-2023
279,410,90511,10-10-2023
280,382,52538,09-01-2023
281,327,84953,07-02-2023
282,343,68016,11-08-2023
283,354,50847,03-12-2023
284,408,37298,13-10-2023
285,413,56409,15-05-2023
286,491,68099,13-02-2023
287,93,96776,23-04-2023
288,118,112761,12-05-2023
289,192,100420,27-04-2023
290,399,45104,30-05-2023
291,150,-108203,07-09-2023
292,157,94563,03-05-2023
293,426,93310,15-02-2023
294,231,116637,04-01-2023
295,5,53963,10-07-2023
296,214,115740,19-07-2023
297,449,69664,12-01-2023
298,203,103713,14-05-2023
299,258,98634,13-12-2023
300,380,91323,19-07-2023
301,147,39298,04-12-2023
302,188,33345,02-08-2023
303,31,92578,28-10-2023
304,321,69967,04-06-2023
305,434,36195,17-03-2023
306,464,113832,25-08-2023
307,41,98840,03-07-2023
308,308,49568,19-01-2023
309,137,50190,13-10-2023
310,379,56302,22-02-2023
311,27,35860,10-06-2023
312,446,43483,19-04-2023
313,436,116636,09-03-2023
314,336,39329,14-01-2023
315,431,86481,11-07-2023
316,429,73741,17-01-2023
317,482,82365,10-09-2023
318,488,107292,04-02-2023
319,27,92437,26-08-2023
320,64,55535,26-11-2023
321,469,31654,15-02-2023
322,223,69762,01-08-2023
323,119,110657,05-05-2023
324,348,94198,17-04-2023
325,384,112894,18-12-2023
326,389,70787,12-05-2023
327,346,50711,30-05-2023
328,23,55442,10-07-2023
329,358,85836,14-10-2023
330,45,-55211,21-09-2023
331,324,72648,20-12-2023
332,9,44922,14-04-2023
333,499,81107,13-09-2023
334,346,115642,13-11-2023
335,276,99896,10-10-2023
336,436,96273,08-06-2023
337,382,88764,15-05-2023
338,219,81874,24-05-2023
339,238,111306,09-04-2023
340,21,81618,29-12-2023
341,237,66178,13-01-2023
342,471,54769,16-04-2023
343,346,83772,01-03-2023
344,313,78595,27-01-2023
345,136,54133,22-08-2023
346,120,70232,04-01-2023
347,49,32862,23-06-2023
348,202,60392,20-01-2023
349,259,61394,28-06-2023
350,341,36214,17-10-2023
351,232,103005,28-03-2023
352,361,88922,17-02-2023
353,364,114890,24-01-2023
354,47,81480,11-09-2023
355,135,119168,03-03-2023
356,131,36583,19-08-2023
357,211,111186,07-08-2023
358,11,53615,05-11-2023
359,341,41666,29-10-2023
360,271,100811,17-11-2023
361,65,-75254,12-10-2023
362,80,37279,27-09-2023
363,492,117307,14-01-2023
364,1,115346,09-03-2023
365,92,39204,27-04-2023
366,28,39293,03-06-2023
367,63,69285,15-02-2023
368,377,52085,08-02-2023
369,488,-119507,16-06-2023
370,65,116827,28-08-2023
371,299,63271,07-04-2023
372,38,92043,27-09-2023
373,475,106354,05-01-2023
374,283,54977,26-02-2023
375,358,109798,13-06-2023
376,26,108104,26-06-2023
377,407,31673,11-09-2023
378,280,115353,24-08-2023
379,486,102208,09-04-2023
380,184,43015,05-09-2023
381,36,69040,15-05-2023
382,12,104608,23-12-2023
383,17,68227,02-09-2023
384,453,75557,21-04-2023
385,248,92417,15-02-2023
386,102,39629,02-03-2023
387,500,40004,16-05-2023
388,173,119201,22-11-2023
389,465,113776,03-07-2023
390,179,33611,02-03-2023
391,122,76716,07-08-2023
392,446,114297,08-11-2023
393,366,117736,02-02-2023
394,8,-74746,31-07-2023
395,53,63387,01-04-2023
396,146,104045,02-11-2023
397,189,46630,02-12-2023
398,414,70372,15-09-2023
399,425,63298,09-06-2023
400,129,42796,12-03-2023
401,202,101679,30-12-2023
402,324,53049,25-07-2023
403,339,87643,02-10-2023
404,418,31119,27-03-2023
405,232,56880,19-10-2023
406,482,91663,15-03-2023
407,69,68571,10-11-2023
408,128,51670,03-04-2023
409,206,98518,15-01-2023
410,23,105803,25-02-2023
411,264,42521,19-08-2023
412,487,85585,10-02-2023
413,468,71071,16-06-2023
414,211,118302,15-04-2023
415,121,-56982,24-05-2023
416,272,109393,25-08-2023
417,2,36210,21-11-2023
418,335,42666,04-11-2023
419,72,56274,21-08-2023
420,457,119432,20-06-2023
421,222,108461,08-11-2023
422,225,41980,02-06-2023
423,36,70484,15-07-2023
424,183,30230,25-07-2023
425,229,75845,03-04-2023
426,493,48364,30-09-2023
427,259,79855,26-03-2023
428,228,35178,02-12-2023
429,48,54404,10-05-2023
430,449,53425,29-08-2023
431,172,84688,27-10-2023
432,195,81189,07-05-2023
433,129,67746,03-10-2023
434,428,116393,09-05-2023
435,75,50047,21-08-2023
436,42,38424,14-07-2023
437,417,70635,15-07-2023
438,37,79271,06-08-2023
439,24,102842,07-08-2023
440,253,84559,23-11-2023
441,494,90912,24-01-2023
442,237,95949,09-11-2023
443,490,96040,10-05-2023
444,114,64200,20-05-2023
445,306,88331,26-05-2023
446,137,94575,29-03-2023
447,329,116375,27-06-2023
448,436,64158,20-03-2023
449,490,41712,06-01-2023
450,483,50268,30-12-2023
451,336,102534,22-07-2023
452,326,106303,26-04-2023
453,217,88903,18-10-2023
454,28,100880,30-09-2023
455,210,53709,29-03-2023
456,339,112071,06-09-2023
457,476,78321,03-12-2023
458,291,111710,20-01-2023
459,450,58211,25-04-2023
460,334,51241,10-09-2023
461,206,74707,01-02-2023
462,336,32939,21-03-2023
463,248,75265,10-06-2023
464,24,82522,18-12-2023
465,264,93013,24-02-2023
466,217,117458,25-06-2023
467,288,72421,13-03-2023
468,379,78091,07-05-2023
469,145,45627,02-10-2023
470,120,57173,28-04-2023
471,377,60730,20-10-2023
472,471,105596,01-12-2023
473,256,114839,02-11-2023
474,256,112000,19-01-2023
475,102,55718,04-05-2023
476,366,110735,06-02-2023
477,78,-50926,25-08-2023
478,471,112622,22-03-2023
479,94,-49686,12-10-2023
480,160,57509,04-09-2023
481,363,63051,15-08-2023
482,361,30773,08-02-2023
483,122,116314,07-08-2023
484,265,85617,09-08-2023
485,362,93544,12-05-2023
486,171,33883,17-08-2023
487,81,116158,01-05-2023
488,249,61990,25-06-2023
489,370,80082,16-08-2023
490,353,-87072,16-05-2023
491,468,110390,29-10-2023
492,8,117505,13-02-2023
493,253,60509,19-06-2023
494,442,42830,22-06-2023
495,148,58195,10-04-2023
496,23,101473,12-09-2023
497,112,59443,07-03-2023
498,194,83680,28-07-2023
499,261,48743,26-11-2023
500,399,48320,06-11-2023
