attendance_id,emp_id,attendance_date,status
72,7,25-02-2024,Present
73,300,24-01-2024,Present
74,44,05-02-2024,WFH
75,165,15-01-2024,Absent
76,476,06-02-2024,Present
77,403,23-02-2024,Absent
78,397,02-02-2024,Absent
79,354,01-03-2024,WFH
80,327,07-01-2024,Absent
81,415,14-02-2024,Present
82,38,13-01-2024,Present
83,295,31-01-2024,Present
84,71,10-02-2024,Absent
85,200,01-01-2024,Present
86,166,02-01-2024,Present
87,420,01-03-2024,WFH
88,183,06-02-2024,Absent
89,282,25-01-2024,WFH
90,293,01-01-2024,Absent
91,467,22-01-2024,WFH
92,80,19-02-2024,WFH
93,241,17-01-2024,Present
94,14,03-02-2024,Absent
95,391,19-01-2024,Present
96,456,12-02-2024,Absent
97,101,05-01-2024,Absent
98,238,19-01-2024,WFH
99,323,09-01-2024,Present
100,431,18-01-2024,Absent
101,383,18-02-2024,WFH
102,305,26-02-2024,Present
103,487,01-03-2024,Absent
104,215,06-01-2024,WFH
105,382,10-02-2024,Present
106,199,01-02-2024,Absent
107,72,01-01-2024,Absent
108,217,03-01-2024,Absent
109,395,16-01-2024,Absent
110,387,27-01-2024,Present
111,47,21-01-2024,WFH
112,236,02-01-2024,Absent
113,203,28-02-2024,Present
114,74,09-01-2024,WFH
115,60,09-01-2024,Present
116,487,02-02-2024,Present
117,25,09-02-2024,Absent
118,73,13-02-2024,Absent
119,343,01-01-2024,WFH
120,403,10-01-2024,WFH
121,431,30-01-2024,Absent
122,58,28-01-2024,Present
123,350,19-02-2024,WFH
124,36,12-02-2024,WFH
125,290,17-01-2024,Absent
126,468,23-01-2024,WFH
127,239,25-02-2024,Present
128,254,04-01-2024,Absent
129,16,24-01-2024,Present
130,467,22-01-2024,WFH
131,465,04-01-2024,Absent
132,69,06-01-2024,WFH
133,219,11-01-2024,WFH
134,188,04-01-2024,Present
135,165,28-02-2024,Present
136,138,25-01-2024,WFH
137,228,24-01-2024,Absent
138,410,20-02-2024,Absent
139,365,05-01-2024,WFH
140,374,28-02-2024,WFH
141,249,11-02-2024,Absent
142,419,05-02-2024,WFH
143,414,07-02-2024,WFH
144,142,31-01-2024,Present
145,318,01-02-2024,Present
146,477,29-02-2024,WFH
147,105,08-01-2024,Present
148,437,15-02-2024,WFH
149,271,07-01-2024,WFH
150,221,11-01-2024,WFH
151,296,29-02-2024,Absent
152,125,15-01-2024,WFH
153,72,16-02-2024,WFH
154,352,22-02-2024,Absent
155,316,13-02-2024,Present
156,300,25-02-2024,WFH
157,475,24-02-2024,WFH
158,164,30-01-2024,WFH
159,324,18-02-2024,Absent
160,236,03-02-2024,Absent
161,417,17-02-2024,WFH
162,26,22-02-2024,Present
163,280,22-01-2024,WFH
164,406,10-02-2024,Absent
165,311,26-01-2024,Absent
166,414,14-01-2024,Absent
167,292,31-01-2024,Present
168,78,30-01-2024,WFH
169,286,21-01-2024,Present
170,424,08-02-2024,Absent
171,227,12-01-2024,Absent
172,361,24-01-2024,Absent
173,99,20-01-2024,Present
174,86,13-01-2024,Absent
175,392,03-01-2024,Absent
176,241,03-02-2024,Absent
177,142,02-02-2024,WFH
178,442,18-02-2024,Present
179,441,24-02-2024,WFH
180,242,05-01-2024,Absent
181,206,16-02-2024,WFH
182,328,07-01-2024,Present
183,318,27-01-2024,Present
184,391,02-01-2024,Absent
185,25,16-02-2024,Present
186,365,11-01-2024,Present
187,261,11-02-2024,WFH
188,208,29-02-2024,Present
189,188,29-02-2024,Absent
190,414,23-01-2024,Absent
191,140,04-02-2024,Present
192,451,21-02-2024,Present
193,406,08-02-2024,Present
194,149,08-02-2024,WFH
195,414,12-02-2024,WFH
196,499,09-01-2024,Present
197,302,28-01-2024,WFH
198,333,16-01-2024,Absent
199,258,05-01-2024,Absent
200,198,09-02-2024,Absent
201,307,06-01-2024,Present
202,455,24-01-2024,Absent
203,190,26-01-2024,Present
204,62,01-02-2024,Present
205,77,12-01-2024,Present
206,483,21-02-2024,WFH
207,33,13-02-2024,Present
208,108,14-01-2024,WFH
209,50,01-02-2024,Absent
210,113,11-01-2024,WFH
211,110,23-01-2024,WFH
212,221,13-02-2024,Present
213,60,18-01-2024,WFH
214,88,09-02-2024,Absent
215,113,08-02-2024,Absent
216,458,03-01-2024,WFH
217,13,07-02-2024,Absent
218,54,03-01-2024,WFH
219,17,28-02-2024,Absent
220,327,30-01-2024,WFH
221,302,23-01-2024,WFH
222,144,08-01-2024,Absent
223,57,18-02-2024,WFH
224,360,13-01-2024,Absent
225,265,06-02-2024,WFH
226,222,11-02-2024,WFH
227,48,07-01-2024,WFH
228,41,03-01-2024,Absent
229,286,07-01-2024,WFH
230,53,19-02-2024,Absent
231,500,11-01-2024,WFH
232,120,31-01-2024,Present
233,164,29-01-2024,Absent
234,316,16-01-2024,WFH
235,18,16-01-2024,Absent
236,236,03-02-2024,Present
237,353,28-01-2024,Present
238,452,03-01-2024,WFH
239,253,30-01-2024,Present
240,469,29-02-2024,Absent
241,352,08-01-2024,WFH
242,125,18-01-2024,Present
243,235,18-01-2024,Absent
244,140,01-02-2024,Present
245,362,05-02-2024,Absent
246,218,25-02-2024,Absent
247,469,16-01-2024,Absent
248,421,28-01-2024,WFH
249,275,25-01-2024,Absent
250,395,27-01-2024,WFH
251,362,17-01-2024,WFH
252,439,11-02-2024,WFH
253,321,02-02-2024,Present
254,328,04-02-2024,Absent
255,383,10-02-2024,WFH
256,443,27-01-2024,Present
257,352,17-01-2024,Present
258,477,10-02-2024,WFH
259,218,06-02-2024,Absent
260,428,15-02-2024,WFH
261,452,28-02-2024,WFH
262,322,02-01-2024,Absent
263,419,27-01-2024,Present
264,203,05-01-2024,Absent
265,299,24-01-2024,Present
266,493,24-02-2024,Absent
267,348,19-01-2024,Absent
268,404,08-01-2024,Present
269,194,05-02-2024,WFH
270,356,04-01-2024,WFH
271,44,10-01-2024,Present
272,131,16-01-2024,Present
273,271,13-02-2024,Absent
274,326,09-02-2024,Absent
275,78,06-02-2024,Absent
276,361,29-02-2024,Present
277,416,14-01-2024,Present
278,2,09-02-2024,Absent
279,222,20-01-2024,Present
280,191,25-01-2024,WFH
281,242,08-02-2024,WFH
282,28,19-01-2024,Present
283,277,11-02-2024,WFH
284,98,08-01-2024,WFH
285,153,19-01-2024,Absent
286,146,08-01-2024,WFH
287,308,14-02-2024,WFH
288,467,13-02-2024,WFH
289,68,25-01-2024,Present
290,94,06-02-2024,WFH
291,25,07-02-2024,Absent
292,249,14-01-2024,Present
293,160,07-01-2024,WFH
294,402,20-02-2024,Absent
295,26,15-02-2024,WFH
296,414,25-02-2024,Present
297,252,01-03-2024,Present
298,448,02-01-2024,WFH
299,401,24-01-2024,Absent
300,169,30-01-2024,Absent
301,138,22-02-2024,Absent
302,485,01-01-2024,Present
303,466,05-01-2024,Present
304,308,15-02-2024,Present
305,222,18-01-2024,Absent
306,244,13-01-2024,Absent
307,330,03-01-2024,Absent
308,184,28-02-2024,Absent
309,107,10-02-2024,Present
310,143,28-02-2024,Absent
311,281,16-02-2024,Absent
312,372,01-02-2024,WFH
313,90,18-01-2024,Present
314,500,17-02-2024,Present
315,25,09-01-2024,Absent
316,384,31-01-2024,WFH
317,400,11-01-2024,WFH
318,252,09-02-2024,Present
319,104,17-01-2024,Present
320,237,11-02-2024,Present
321,275,24-01-2024,WFH
322,38,25-01-2024,WFH
323,20,13-02-2024,Absent
324,357,29-02-2024,Absent
325,226,04-01-2024,Absent
326,136,05-02-2024,WFH
327,32,08-02-2024,WFH
328,492,24-01-2024,Present
329,238,01-02-2024,Present
330,415,11-01-2024,WFH
331,221,14-01-2024,Absent
332,6,18-01-2024,Absent
333,391,08-02-2024,Present
334,310,19-01-2024,Absent
335,294,02-01-2024,Present
336,128,19-02-2024,Present
337,112,08-02-2024,Present
338,30,28-01-2024,Present
339,176,30-01-2024,Present
340,308,27-02-2024,Absent
341,21,02-01-2024,Absent
342,188,03-02-2024,Present
343,305,28-01-2024,Absent
344,5,27-02-2024,Absent
345,241,02-01-2024,Present
346,418,03-02-2024,WFH
347,63,24-01-2024,Present
348,71,03-02-2024,Absent
349,228,22-02-2024,WFH
350,356,24-01-2024,Absent
351,179,22-02-2024,WFH
352,348,04-01-2024,Absent
353,3,29-02-2024,Present
354,223,29-01-2024,Present
355,43,09-02-2024,Present
356,291,29-02-2024,Absent
357,104,09-01-2024,WFH
358,72,06-02-2024,WFH
359,107,21-02-2024,Present
360,477,23-02-2024,Absent
361,286,16-02-2024,Present
362,53,23-02-2024,Absent
363,116,25-01-2024,WFH
364,499,17-01-2024,Present
365,292,14-01-2024,WFH
366,242,22-01-2024,WFH
367,217,14-01-2024,Present
368,13,28-01-2024,Absent
369,461,26-01-2024,Absent
370,201,28-01-2024,Absent
371,170,27-01-2024,Present
372,422,04-02-2024,WFH
373,307,10-01-2024,Absent
374,201,16-02-2024,Absent
375,208,09-01-2024,WFH
376,377,09-02-2024,WFH
377,441,29-01-2024,Present
378,272,27-01-2024,WFH
379,219,08-02-2024,Absent
380,77,11-02-2024,Absent
381,399,01-02-2024,Present
382,271,22-01-2024,Present
383,384,04-02-2024,Present
384,311,28-02-2024,Absent
385,325,02-01-2024,Absent
386,101,01-03-2024,Present
387,165,08-02-2024,Present
388,396,25-02-2024,Present
389,427,25-02-2024,Present
390,116,29-01-2024,Present
391,388,27-02-2024,Present
392,142,22-02-2024,Absent
393,454,03-01-2024,Present
394,385,20-02-2024,Present
395,476,14-01-2024,Absent
396,195,28-02-2024,Absent
397,429,30-01-2024,Present
398,326,02-02-2024,WFH
399,346,03-01-2024,WFH
400,80,20-02-2024,WFH
401,30,22-01-2024,WFH
402,259,11-01-2024,Absent
403,319,14-02-2024,Present
404,187,30-01-2024,Absent
405,267,22-01-2024,WFH
406,260,29-01-2024,Absent
407,410,21-02-2024,Present
408,183,20-01-2024,Absent
409,298,26-01-2024,WFH
410,61,01-01-2024,WFH
411,107,04-01-2024,WFH
412,18,11-01-2024,Absent
413,265,14-01-2024,WFH
414,218,18-01-2024,Absent
415,406,01-02-2024,Absent
416,458,25-02-2024,Present
417,195,25-01-2024,Absent
418,389,06-02-2024,Present
419,397,22-02-2024,Absent
420,78,16-01-2024,WFH
421,222,10-01-2024,Present
422,377,02-02-2024,Present
423,311,05-02-2024,Absent
424,152,10-02-2024,Present
425,322,23-01-2024,Present
426,355,31-01-2024,WFH
427,469,25-02-2024,WFH
428,292,04-01-2024,Absent
429,278,03-02-2024,WFH
430,284,29-01-2024,WFH
431,71,20-01-2024,Present
432,158,04-02-2024,Absent
433,22,13-01-2024,Present
434,103,08-01-2024,Present
435,320,10-02-2024,Present
436,3,23-01-2024,Present
437,373,17-01-2024,Absent
438,343,29-02-2024,Absent
439,34,29-01-2024,WFH
440,456,16-02-2024,WFH
441,105,09-01-2024,Present
442,369,12-02-2024,WFH
443,112,04-02-2024,Present
444,81,18-01-2024,Present
445,445,25-01-2024,Absent
446,415,22-01-2024,WFH
447,309,26-01-2024,WFH
448,171,17-02-2024,Absent
449,78,14-02-2024,WFH
450,23,01-03-2024,WFH
451,166,13-01-2024,Present
452,405,09-01-2024,WFH
453,180,01-03-2024,Present
454,358,04-01-2024,Absent
455,31,03-01-2024,WFH
456,251,05-02-2024,WFH
457,472,28-01-2024,Present
458,427,08-01-2024,WFH
459,21,01-02-2024,Absent
460,22,03-02-2024,WFH
461,189,28-02-2024,Present
462,83,24-02-2024,Present
463,370,01-01-2024,WFH
464,389,14-02-2024,Absent
465,148,23-01-2024,WFH
466,265,12-01-2024,Present
467,464,11-02-2024,WFH
468,347,01-01-2024,Present
469,471,15-01-2024,Present
470,181,27-02-2024,Absent
471,188,25-01-2024,Absent
472,36,06-01-2024,WFH
473,291,26-01-2024,Present
474,66,10-01-2024,WFH
475,440,12-02-2024,Absent
476,350,10-01-2024,Present
477,69,17-01-2024,WFH
478,189,27-01-2024,Absent
479,178,29-02-2024,Absent
480,272,25-01-2024,Absent
481,381,17-02-2024,Absent
482,177,08-02-2024,Present
483,113,06-01-2024,WFH
484,7,15-01-2024,WFH
485,66,20-02-2024,Present
486,399,14-02-2024,Present
487,11,04-01-2024,WFH
488,170,17-01-2024,WFH
489,352,14-01-2024,Present
490,53,29-01-2024,Present
491,497,13-01-2024,WFH
492,428,23-01-2024,Absent
493,111,03-01-2024,Absent
494,126,07-02-2024,Absent
495,269,15-02-2024,WFH
496,179,23-02-2024,WFH
497,467,01-01-2024,WFH
498,264,22-01-2024,WFH
499,5,06-02-2024,WFH
500,260,08-01-2024,Present
501,324,13-01-2024,WFH
502,24,14-02-2024,Present
503,374,27-01-2024,Present
504,105,05-02-2024,WFH
505,381,29-02-2024,Present
506,260,15-02-2024,Present
507,500,24-01-2024,Present
508,275,06-02-2024,Absent
509,80,05-02-2024,Absent
510,276,27-02-2024,Present
511,379,15-01-2024,Present
512,146,24-02-2024,WFH
513,105,12-01-2024,Absent
514,428,28-01-2024,Absent
515,198,25-02-2024,WFH
516,91,10-01-2024,WFH
517,477,12-02-2024,Present
518,32,15-02-2024,Present
519,377,05-01-2024,Absent
520,179,24-02-2024,Absent
521,74,16-02-2024,Absent
522,439,14-01-2024,Absent
523,410,21-02-2024,Present
524,119,28-02-2024,Absent
525,156,27-01-2024,Absent
526,496,06-02-2024,Present
527,380,24-02-2024,Absent
528,265,25-02-2024,WFH
529,325,17-01-2024,Present
530,403,19-02-2024,Absent
531,163,20-01-2024,WFH
532,254,21-02-2024,Present
533,137,18-01-2024,Absent
534,184,21-01-2024,WFH
535,78,23-01-2024,Absent
536,412,12-01-2024,Present
537,86,28-02-2024,Present
538,360,19-02-2024,Present
539,457,24-02-2024,Absent
540,47,22-02-2024,Present
541,428,19-01-2024,Present
542,209,09-01-2024,Absent
543,305,19-01-2024,Present
544,39,17-01-2024,Absent
545,203,26-01-2024,Present
546,56,30-01-2024,WFH
547,88,19-02-2024,WFH
548,413,01-01-2024,Present
549,315,09-01-2024,Absent
550,366,16-01-2024,Present
551,281,01-03-2024,Absent
552,36,05-01-2024,Present
553,492,31-01-2024,WFH
554,300,09-02-2024,WFH
555,280,25-01-2024,WFH
556,108,07-02-2024,Present
557,176,06-02-2024,Absent
558,300,01-03-2024,Absent
559,118,22-01-2024,Present
560,32,21-02-2024,Present
561,32,08-02-2024,Present
562,160,08-01-2024,Present
563,168,14-01-2024,Present
564,198,22-01-2024,Present
565,277,02-02-2024,Absent
566,360,18-01-2024,Present
567,55,22-01-2024,Present
568,419,20-01-2024,WFH
569,174,18-01-2024,Present
570,456,29-01-2024,Absent
571,173,25-01-2024,Absent
572,187,11-02-2024,Absent
573,167,28-01-2024,WFH
574,449,30-01-2024,WFH
575,318,03-02-2024,WFH
576,381,25-02-2024,Absent
577,318,24-01-2024,Absent
578,251,17-02-2024,Absent
579,83,21-01-2024,Absent
580,209,09-01-2024,Present
581,133,21-01-2024,Present
582,145,04-02-2024,Absent
583,147,07-01-2024,WFH
584,49,07-01-2024,Present
585,211,24-02-2024,WFH
586,113,06-02-2024,Present
587,268,01-03-2024,WFH
588,499,22-02-2024,Present
589,484,29-01-2024,WFH
590,345,16-01-2024,WFH
591,32,10-01-2024,WFH
592,243,01-03-2024,Absent
593,68,21-01-2024,Absent
594,209,31-01-2024,Absent
595,305,01-03-2024,Present
596,442,27-01-2024,Absent
597,20,05-01-2024,WFH
598,249,07-01-2024,Absent
599,271,24-02-2024,Present
600,77,09-02-2024,Absent
601,297,22-01-2024,Absent
602,138,20-02-2024,Present
603,305,06-02-2024,Absent
604,279,01-03-2024,Absent
605,380,23-02-2024,Absent
606,421,07-01-2024,Present
607,465,07-02-2024,Present
608,441,15-01-2024,WFH
609,107,17-02-2024,Present
610,424,08-02-2024,Absent
611,313,21-02-2024,Present
612,163,24-01-2024,WFH
613,389,11-02-2024,Absent
614,351,27-01-2024,WFH
615,41,24-02-2024,WFH
616,296,27-02-2024,WFH
617,22,17-01-2024,Absent
618,8,26-02-2024,Present
619,442,11-02-2024,Absent
620,156,14-01-2024,Absent
621,60,28-01-2024,WFH
622,158,05-01-2024,Present
623,226,23-01-2024,WFH
624,271,17-02-2024,Absent
625,92,07-02-2024,Present
626,300,23-01-2024,WFH
627,248,22-01-2024,Absent
628,246,21-02-2024,Absent
629,283,01-03-2024,WFH
630,228,08-01-2024,Present
631,200,28-01-2024,Present
632,220,08-01-2024,Absent
633,279,28-01-2024,WFH
634,190,15-01-2024,Present
635,185,01-03-2024,WFH
636,291,03-02-2024,WFH
637,456,11-01-2024,Present
638,457,20-02-2024,WFH
639,399,09-01-2024,WFH
640,296,30-01-2024,Present
641,172,20-02-2024,Present
642,206,15-01-2024,WFH
643,345,13-01-2024,Absent
644,384,30-01-2024,Absent
645,499,17-01-2024,Present
646,295,02-02-2024,Absent
647,254,13-01-2024,Absent
648,412,23-02-2024,Absent
649,221,01-01-2024,WFH
650,41,20-01-2024,Absent
651,492,01-03-2024,Present
652,490,11-02-2024,WFH
653,151,29-02-2024,Absent
654,241,24-01-2024,Present
655,228,03-01-2024,Absent
656,310,23-02-2024,Absent
657,464,19-02-2024,Absent
658,420,24-01-2024,Absent
659,239,01-01-2024,WFH
660,277,29-01-2024,Present
661,262,20-02-2024,Absent
662,353,25-01-2024,WFH
663,60,23-02-2024,Present
664,209,29-01-2024,Present
665,190,26-01-2024,WFH
666,347,15-02-2024,WFH
667,171,14-01-2024,Present
668,60,18-01-2024,WFH
669,460,31-01-2024,WFH
670,379,27-02-2024,Present
671,204,07-02-2024,Present
672,447,01-02-2024,WFH
673,450,18-02-2024,WFH
674,287,12-02-2024,Present
675,36,21-01-2024,Present
676,324,02-02-2024,WFH
677,300,14-02-2024,Present
678,134,02-02-2024,WFH
679,32,17-02-2024,Absent
680,264,08-01-2024,WFH
681,80,14-01-2024,Absent
682,38,22-01-2024,WFH
683,276,06-01-2024,Absent
684,278,19-01-2024,WFH
685,74,27-02-2024,WFH
686,203,03-01-2024,Present
687,169,21-01-2024,WFH
688,238,11-01-2024,WFH
689,318,01-03-2024,WFH
690,30,28-02-2024,WFH
691,126,24-02-2024,WFH
692,343,22-02-2024,Present
693,73,26-01-2024,Present
694,408,03-01-2024,WFH
695,386,10-02-2024,WFH
696,434,02-01-2024,Absent
697,498,10-02-2024,Absent
698,176,22-01-2024,Absent
699,453,18-02-2024,WFH
